Mar 01 05:48:34.557 INFO: manager: 1.1.0
Mar 01 05:48:34.557 INFO: manager: Copyright (C) 2003-2010
Mar 01 05:48:34.557 INFO: manager:   Noriaki Ando
Mar 01 05:48:34.557 INFO: manager:   Intelligent Systems Research Institute, AIST
Mar 01 05:48:34.557 INFO: manager: Manager starting.
Mar 01 05:48:34.558 INFO: manager: Starting local logging.
Mar 01 05:48:34.630 WARNING: NamingOnCorba: No endpoint for the CORBA naming service (localhost) was found.
Mar 01 05:48:34.630 INFO: NamingManager: NameServer connection succeeded: corba/localhost
Mar 01 05:48:34.643 INFO: ManagerServant: Master manager not found
Mar 01 05:48:34.650 INFO: PulseAudioOutput0: PulseAudioOutput : Audio output component using pulseaudio api
Mar 01 05:48:34.650 INFO: PulseAudioOutput0:  Copyright (C) 2010-2011 Yosuke Matsusaka and AIST-OpenHRI development team
Mar 01 05:48:34.650 INFO: PulseAudioOutput0:  Version 2.01
Mar 01 05:51:48.212 WARNING: SdoServiceAdmin: No available SDO service in the factory: 
Mar 01 05:51:48.220 WARNING: SdoServiceAdmin: No available SDO service in the factory: IDL:OpenRTM/ComponentObserver:1.0
Mar 01 13:28:27.516 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:27.857 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:27.867 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:27.871 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:27.875 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:27.876 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:27.890 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:27.894 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:27.899 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:27.902 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:27.905 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:27.911 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:27.915 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:27.920 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:27.925 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:27.929 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:27.933 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:27.946 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:27.949 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:27.953 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:27.955 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:27.961 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:27.964 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:27.972 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:27.981 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:27.989 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:27.993 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:28.006 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:28.014 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:28.022 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:28.026 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:28.030 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:28.040 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:28.044 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:28.047 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:28.055 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
Mar 01 13:28:28.065 WARNING: PulseAudioOutput0: pa_stream_begin_write() failed.
